BLOCK  CONDITION   TRUE   FALSE  
1      TRUE        2      -1          
2      var1<var2   7      3           
3      var1<var3   5      4           
4      jmp         6      -1          
5      TRUE        6      -1          
6      jmp         11     -1          
7      var2<var3   9      8           
8      jmp         10     -1          
9      TRUE        10     -1          
10     TRUE        11     -1          
11     TRUE        12     -1          
12     exit        0      -1          
13     TRUE        14     -1          
14     TRUE        15     -1          
15     n<=0        17     16          
16     jmp         15     -1          
17     TRUE        18     -1          
18     exit        0      -1          
19     call        12     -1          
20     call        18     -1          
21     TRUE        22     -1          
22     choice==0   30     23          
23     1!=choice   25     24          
24     TRUE        25     -1          
25     2!=choice   27     26          
26     TRUE        27     -1          
27     3!=choice   29     28          
28     TRUE        29     -1          
29     jmp         22     -1          
30     exit        0      -1          
